"ID","TOKEN","UPOS"
"177","οὐκ","ADV"
"178","ἂν","ADV"
"179","ἤμην","AUX"
"180",".","PUNCT"
"181","Γνωρίζω","VERB"
"182","γὰρ","ADV"
"183","ὑμῖν","PRON"
"184",",","PUNCT"
"185","ἀδελφοί","NOUN"
"186",",","PUNCT"
"187","τὸ","DET"
"188","εὐαγγέλιον","NOUN"
"189","τὸ","DET"
"190","εὐαγγελισθὲν","VERB"
"191","ὑπʼ","ADP"
"192","ἐμοῦ","PRON"
"193","ὅτι","SCONJ"
"194","οὐκ","ADV"
"195","ἔστιν","AUX"
"196","κατὰ","ADP"
"197","ἄνθρωπον","NOUN"
"198","·","PUNCT"
"199","οὐδὲ","CCONJ"
"200","γὰρ","ADV"
"201","ἐγὼ","PRON"
"202","παρὰ","ADP"
"203","ἀνθρώπου","NOUN"
"204","παρέλαβον","VERB"
"205","αὐτό","PRON"
"206",",","PUNCT"
"207","οὔτε","CCONJ"
"208","ἐδιδάχθην","VERB"
"209",",","PUNCT"
"210","ἀλλὰ","CCONJ"
"211","διʼ","ADP"
"212","ἀποκαλύψεως","NOUN"
"213","Ἰησοῦ","PROPN"
"214","Χριστοῦ","PROPN"
"215",".","PUNCT"
"216","Ἠκούσατε","VERB"
"217","γὰρ","ADV"
"218","τὴν","DET"
"219","ἐμὴν","ADJ"
"220","ἀναστροφήν","NOUN"
"221","ποτε","ADV"
"222","ἐν","ADP"
"223","τῷ","DET"
"224","Ἰουδαϊσμῷ","NOUN"
"225",",","PUNCT"
"226","ὅτι","SCONJ"
"227","καθʼ","ADP"
"228","ὑπερβολὴν","NOUN"
"229","ἐδίωκον","VERB"
"230","τὴν","DET"
"231","ἐκκλησίαν","NOUN"
"232","τοῦ","DET"
"233","θεοῦ","NOUN"
"234","καὶ","CCONJ"
"235","ἐπόρθουν","VERB"
"236","αὐτήν","PRON"
"237",",","PUNCT"
"238","καὶ","CCONJ"
"239","προέκοπτον","VERB"
"240","ἐν","ADP"
"241","τῷ","DET"
"242","Ἰουδαϊσμῷ","NOUN"
"243","ὑπὲρ","ADP"
"244","πολλοὺς","ADJ"
"245","συνηλικιώτας","NOUN"
"246","ἐν","ADP"
"247","τῷ","DET"
"248","γένει","NOUN"
"249","μου","PRON"
"250",",","PUNCT"
"251","περισσοτέρως","ADV"
"252","ζηλωτὴς","NOUN"
"253","ὑπάρχων","VERB"
"254","τῶν","DET"
"255","πατρικῶν","ADJ"
"256","μου","PRON"
"257","παραδόσεων","NOUN"
"258",".","PUNCT"
"259","ὅτε","SCONJ"
"260","δὲ","ADV"
"261","εὐδόκησεν","VERB"
"262","ὁ","DET"
"263","ἀφορίσας","VERB"
"264","με","PRON"
"265","ἐκ","ADP"
"266","κοιλίας","NOUN"
"267","μητρός","NOUN"
"268","μου","PRON"
"269","καὶ","CCONJ"
"270","καλέσας","VERB"
"271","διὰ","ADP"
"272","τῆς","DET"
"273","χάριτος","NOUN"
"274","αὐτοῦ","PRON"
"275","ἀποκαλύψαι","VERB"
"276","τὸν","DET"
"277","υἱὸν","NOUN"
"278","αὐτοῦ","PRON"
"279","ἐν","ADP"
"280","ἐμοὶ","PRON"
"281","ἵνα","SCONJ"
"282","εὐαγγελίζωμαι","VERB"
"283","αὐτὸν","PRON"
"284","ἐν","ADP"
"285","τοῖς","DET"
"286","ἔθνεσιν","NOUN"
"287",",","PUNCT"
"288","εὐθέως","ADV"
"289","οὐ","ADV"
"290","προσανεθέμην","VERB"
"291","σαρκὶ","NOUN"
"292","καὶ","CCONJ"
"293","αἵματι","NOUN"
"294",",","PUNCT"
"295","οὐδὲ","CCONJ"
"296","ἀνῆλθον","VERB"
"297","εἰς","ADP"
"298","Ἱεροσόλυμα","PROPN"
"299","πρὸς","ADP"
"300","τοὺς","DET"
"301","πρὸ","ADP"
"302","ἐμοῦ","PRON"
"303","ἀποστόλους","NOUN"
"304",",","PUNCT"
"305","ἀλλὰ","CCONJ"
"306","ἀπῆλθον","VERB"
"307","εἰς","ADP"
"308","Ἀραβίαν","PROPN"
"309",",","PUNCT"
"310","καὶ","CCONJ"
"311","πάλιν","ADV"
"312","ὑπέστρεψα","VERB"
"313","εἰς","ADP"
"314","Δαμασκόν","PROPN"
"315",".","PUNCT"
"316","Ἔπειτα","ADV"
"317","μετὰ","ADP"
"318","ἔτη","NOUN"
"319","τρία","NUM"
"320","ἀνῆλθον","VERB"
"321","εἰς","ADP"
"322","Ἱεροσόλυμα","PROPN"
"323","ἱστορῆσαι","VERB"
"324","Κηφᾶν","PROPN"
"325",",","PUNCT"
"326","καὶ","CCONJ"
"327","ἐπέμεινα","VERB"
"328","πρὸς","ADP"
"329","αὐτὸν","PRON"
"330","ἡμέρας","NOUN"
"331","δεκαπέντε","NUM"
"332","·","PUNCT"
"333","ἕτερον","ADJ"
"334","δὲ","ADV"
"335","τῶν","DET"
"336","ἀποστόλων","NOUN"
"337","οὐκ","ADV"
"338","εἶδον","VERB"
"339",",","PUNCT"
"340","εἰ","ADV"
"341","μὴ","ADV"
"342","Ἰάκωβον","PROPN"
"343","τὸν","DET"
"344","ἀδελφὸν","NOUN"
"345","τοῦ","DET"
"346","κυρίου","NOUN"
"347",".","PUNCT"
"348","ἃ","PRON"
"349","δὲ","ADV"
"350","γράφω","VERB"
"351","ὑμῖν","PRON"
"352",",","PUNCT"
"353","ἰδοὺ","INTJ"
"354","ἐνώπιον","ADP"
"355","τοῦ","DET"
"356","θεοῦ","NOUN"
"357","ὅτι","SCONJ"
"358","οὐ","ADV"
"359","ψεύδομαι","VERB"
"360",".","PUNCT"
"361","ἔπειτα","ADV"
"362","ἦλθον","VERB"
"363","εἰς","ADP"
"364","τὰ","DET"
"365","κλίματα","NOUN"
"366","τῆς","DET"
"367","Συρίας","PROPN"
"368","καὶ","CCONJ"
"369","τῆς","DET"
"370","Κιλικίας","PROPN"
"371",".","PUNCT"
"372","ἤμην","AUX"
"373","δὲ","ADV"
"374","ἀγνοούμενος","VERB"
"375","τῷ","DET"
"376","προσώπῳ","NOUN"
"377","ταῖς","DET"
"378","ἐκκλησίαις","NOUN"
"379","τῆς","DET"
"380","Ἰουδαίας","PROPN"
"381","ταῖς","DET"
"382","ἐν","ADP"
"383","Χριστῷ","PROPN"
"384",",","PUNCT"
"385","μόνον","ADJ"
"386","δὲ","ADV"
"387","ἀκούοντες","VERB"
"388","ἦσαν","AUX"
"389","ὅτι","SCONJ"
"390","Ὁ","DET"
"391","διώκων","VERB"
"392","ἡμᾶς","PRON"
"393","ποτε","ADV"
"394","νῦν","ADV"
"395","εὐαγγελίζεται","VERB"
"396","τὴν","DET"
"397","πίστιν","NOUN"
"398","ἥν","PRON"
"399","ποτε","ADV"
"400","ἐπόρθει","VERB"
"401",",","PUNCT"
"402","καὶ","CCONJ"
"403","ἐδόξαζον","VERB"
"404","ἐν","ADP"
"405","ἐμοὶ","PRON"
"406","τὸν","DET"
"407","θεόν","NOUN"
"408",".","PUNCT"
"409","Ἔπειτα","ADV"
"410","διὰ","ADP"
"411","δεκατεσσάρων","NUM"
"412","ἐτῶν","NOUN"
"413","πάλιν","ADV"
"414","ἀνέβην","VERB"
"415","εἰς","ADP"
"416","Ἱεροσόλυμα","PROPN"
"417","μετὰ","ADP"
"418","Βαρναβᾶ","PROPN"
"419","συμπαραλαβὼν","VERB"
"420","καὶ","ADV"
"421","Τίτον","PROPN"
"422","·","PUNCT"
"423","ἀνέβην","VERB"
"424","δὲ","ADV"
"425","κατὰ","ADP"
"426","ἀποκάλυψιν","NOUN"
"427","·","PUNCT"
"428","καὶ","CCONJ"
"429","ἀνεθέμην","VERB"
"430","αὐτοῖς","PRON"
"431","τὸ","DET"
"432","εὐαγγέλιον","NOUN"
"433","ὃ","PRON"
"434","κηρύσσω","VERB"
"435","ἐν","ADP"
"436","τοῖς","DET"
"437","ἔθνεσιν","NOUN"
"438",",","PUNCT"
"439","κατʼ","ADP"
"440","ἰδίαν","ADJ"
"441","δὲ","ADV"
"442","τοῖς","DET"
"443","δοκοῦσιν","VERB"
"444",",","PUNCT"
"445","μή","SCONJ"
"446","πως","ADV"
"447","εἰς","ADP"
"448","κενὸν","ADJ"
"449","τρέχω","VERB"
"450","ἢ","CCONJ"
"451","ἔδραμον","VERB"
"452",".","PUNCT"
"453","ἀλλʼ","CCONJ"
"454","οὐδὲ","ADV"
"455","Τίτος","PROPN"
"456","ὁ","DET"
"457","σὺν","ADP"
"458","ἐμοί","PRON"
"459",",","PUNCT"
"460","Ἕλλην","NOUN"
"461","ὤν","AUX"
"462",",","PUNCT"
"463","ἠναγκάσθη","VERB"
"464","περιτμηθῆναι","VERB"
"465","·","PUNCT"
"466","διὰ","ADP"
"467","δὲ","ADV"
"468","τοὺς","DET"
"469","παρεισάκτους","ADJ"
"470","ψευδαδέλφους","NOUN"
"471",",","PUNCT"
"472","οἵτινες","PRON"
"473","παρεισῆλθον","VERB"
"474","κατασκοπῆσαι","VERB"
"475","τὴν","DET"
"476","ἐλευθερίαν","NOUN"
"477","ἡμῶν","PRON"
"478","ἣν","PRON"
"479","ἔχομεν","VERB"
"480","ἐν","ADP"
"481","Χριστῷ","PROPN"
"482","Ἰησοῦ","PROPN"
"483",",","PUNCT"
"484","ἵνα","SCONJ"
"485","ἡμᾶς","PRON"
"486","καταδουλώσουσιν","VERB"
"487","—οἷς","PRON"
"488","οὐδὲ","ADV"
"489","πρὸς","ADP"
"490","ὥραν","NOUN"
"491","εἴξαμεν","VERB"
"492","τῇ","DET"
"493","ὑποταγῇ","NOUN"
"494",",","PUNCT"
"495","ἵνα","SCONJ"
"496","ἡ","DET"
"497","ἀλήθεια","NOUN"
"498","τοῦ","DET"
"499","εὐαγγελίου","NOUN"
"500","διαμείνῃ","VERB"
"501","πρὸς","ADP"
"502","ὑμᾶς","PRON"
"503",".","PUNCT"
"504","ἀπὸ","ADP"
"505","δὲ","ADV"
"506","τῶν","DET"
"507","δοκούντων","VERB"
"508","εἶναί","AUX"
"509","τι","ADJ"
"510","—ὁποῖοί","PRON"
"511","ποτε","ADV"
"512","ἦσαν","AUX"
"513","οὐδέν","ADJ"
"514","μοι","PRON"
"515","διαφέρει","VERB"
"516","·","PUNCT"
"517","πρόσωπον","NOUN"
"518","θεὸς","NOUN"
"519","ἀνθρώπου","NOUN"
"520","οὐ","ADV"
"521","λαμβάνει","VERB"
"522","—ἐμοὶ","PRON"
"523","γὰρ","ADV"
"524","οἱ","DET"
"525","δοκοῦντες","VERB"
"526","οὐδὲν","ADJ"
"527","προσανέθεντο","VERB"
"528",",","PUNCT"
"529","ἀλλὰ","CCONJ"
"530","τοὐναντίον","ADV"
"531","ἰδόντες","VERB"
"532","ὅτι","SCONJ"
"533","πεπίστευμαι","VERB"
"534","τὸ","DET"
"535","εὐαγγέλιον","NOUN"
"536","τῆς","DET"
"537","ἀκροβυστίας","NOUN"
"538","καθὼς","ADV"
"539","Πέτρος","PROPN"
"540","τῆς","DET"
"541","περιτομῆς","NOUN"
"542",",","PUNCT"
"543","ὁ","DET"
"544","γὰρ","ADV"
"545","ἐνεργήσας","VERB"
"546","Πέτρῳ","PROPN"
"547","εἰς","ADP"
"548","ἀποστολὴν","NOUN"
"549","τῆς","DET"
"550","περιτομῆς","NOUN"
"551","ἐνήργησεν","VERB"
"552","καὶ","CCONJ"
"553","ἐμοὶ","PRON"
"554","εἰς","ADP"
"555","τὰ","DET"
"556","ἔθνη","NOUN"
"557",",","PUNCT"
"558","καὶ","CCONJ"
"559","γνόντες","VERB"
"560","τὴν","DET"
"561","χάριν","NOUN"
"562","τὴν","DET"
"563","δοθεῖσάν","VERB"
"564","μοι","PRON"
"565",",","PUNCT"
"566","Ἰάκωβος","PROPN"
"567","καὶ","CCONJ"
"568","Κηφᾶς","PROPN"
"569","καὶ","CCONJ"
"570","Ἰωάννης","PROPN"
"571",",","PUNCT"
"572","οἱ","DET"
"573","δοκοῦντες","VERB"
"574","στῦλοι","NOUN"
"575","εἶναι","AUX"
"576",",","PUNCT"
"577","δεξιὰς","ADJ"
"578","ἔδωκαν","VERB"
"579","ἐμοὶ","PRON"
"580","καὶ","CCONJ"
"581","Βαρναβᾷ","PROPN"
"582","κοινωνίας","NOUN"
"583",",","PUNCT"
"584","ἵνα","SCONJ"
"585","ἡμεῖς","PRON"
"586","εἰς","ADP"
"587","τὰ","DET"
"588","ἔθνη","NOUN"
"589",",","PUNCT"
"590","αὐτοὶ","PRON"
"591","δὲ","ADV"
"592","εἰς","ADP"
"593","τὴν","DET"
"594","περιτομήν","NOUN"
"595","·","PUNCT"
"596","μόνον","ADJ"
"597","τῶν","DET"
"598","πτωχῶν","ADJ"
"599","ἵνα","SCONJ"
"600","μνημονεύωμεν","VERB"
"601",",","PUNCT"
"602","ὃ","PRON"
"603","καὶ","ADV"
"604","ἐσπούδασα","VERB"
"605","αὐτὸ","DET"
"606","τοῦτο","ADJ"
"607","ποιῆσαι","VERB"
"608",".","PUNCT"
"609","Ὅτε","SCONJ"
"610","δὲ","ADV"
"611","ἦλθεν","VERB"
"612","Κηφᾶς","PROPN"
"613","εἰς","ADP"
"614","Ἀντιόχειαν","PROPN"
"615",",","PUNCT"
"616","κατὰ","ADP"
"617","πρόσωπον","NOUN"
"618","αὐτῷ","PRON"
"619","ἀντέστην","VERB"
"620",",","PUNCT"
"621","ὅτι","SCONJ"
"622","κατεγνωσμένος","VERB"
"623","ἦν","AUX"
"624","·","PUNCT"
"625","πρὸ","ADP"
"626","τοῦ","DET"
"627","γὰρ","ADV"
"628","ἐλθεῖν","VERB"
"629","τινας","ADJ"
"630","ἀπὸ","ADP"
"631","Ἰακώβου","PROPN"
"632","μετὰ","ADP"
"633","τῶν","DET"
"634","ἐθνῶν","NOUN"
"635","συνήσθιεν","VERB"
"636","·","PUNCT"
"637","ὅτε","SCONJ"
"638","δὲ","ADV"
"639","ἦλθον","VERB"
"640",",","PUNCT"
"641","ὑπέστελλεν","VERB"
"642","καὶ","CCONJ"
"643","ἀφώριζεν","VERB"
"644","ἑαυτόν","PRON"
"645",",","PUNCT"
"646","φοβούμενος","VERB"
"647","τοὺς","DET"
"648","ἐκ","ADP"
"649","περιτομῆς","NOUN"
"650",".","PUNCT"
"651","καὶ","CCONJ"
"652","συνυπεκρίθησαν","VERB"
"653","αὐτῷ","PRON"
"654","καὶ","ADV"
"655","οἱ","DET"
"656","λοιποὶ","ADJ"
"657","Ἰουδαῖοι","ADJ"
"658",",","PUNCT"
"659","ὥστε","SCONJ"
"660","καὶ","ADV"
"661","Βαρναβᾶς","PROPN"
"662","συναπήχθη","VERB"
"663","αὐτῶν","PRON"
"664","τῇ","DET"
"665","ὑποκρίσει","NOUN"
"666",".","PUNCT"
"667","ἀλλʼ","CCONJ"
"668","ὅτε","SCONJ"
"669","εἶδον","VERB"
"670","ὅτι","SCONJ"
"671","οὐκ","ADV"
"672","ὀρθοποδοῦσιν","VERB"
"673","πρὸς","ADP"
"674","τὴν","DET"
"675","ἀλήθειαν","NOUN"
"676","τοῦ","DET"
"677","εὐαγγελίου","NOUN"
"678",",","PUNCT"
"679","εἶπον","VERB"
"680","τῷ","DET"
"681","Κηφᾷ","PROPN"
"682","ἔμπροσθεν","ADP"
"683","πάντων","ADJ"
"684","·","PUNCT"
"685","Εἰ","SCONJ"
"686","σὺ","PRON"
"687","Ἰουδαῖος","ADJ"
"688","ὑπάρχων","VERB"
"689","ἐθνικῶς","ADV"
"690","καὶ","CCONJ"
"691","οὐκ","ADV"
"692","Ἰουδαϊκῶς","ADV"
"693","ζῇς","VERB"
"694",",","PUNCT"
"695","πῶς","ADV"
"696","τὰ","DET"
"697","ἔθνη","NOUN"
"698","ἀναγκάζεις","VERB"
"699","Ἰουδαΐζειν","VERB"
"700",";","PUNCT"
"701","Ἡμεῖς","PRON"
"702","φύσει","NOUN"
"703","Ἰουδαῖοι","ADJ"
"704","καὶ","CCONJ"
"705","οὐκ","ADV"
"706","ἐξ","ADP"
"707","ἐθνῶν","NOUN"
"708","ἁμαρτωλοί","ADJ"
"709",",","PUNCT"
"710","εἰδότες","VERB"
"711","δὲ","ADV"
"712","ὅτι","SCONJ"
"713","οὐ","ADV"
"714","δικαιοῦται","VERB"
"715","ἄνθρωπος","NOUN"
"716","ἐξ","ADP"
"717","ἔργων","NOUN"
"718","νόμου","NOUN"
"719","ἐὰν","ADV"
"720","μὴ","ADV"
"721","διὰ","ADP"
"722","πίστεως","NOUN"
"723","Ἰησοῦ","PROPN"
"724","Χριστοῦ","PROPN"
"725",",","PUNCT"
"726","καὶ","CCONJ"
"727","ἡμεῖς","PRON"
"728","εἰς","ADP"
"729","Χριστὸν","PROPN"
"730","Ἰησοῦν","PROPN"
"731","ἐπιστεύσαμεν","VERB"
"732",",","PUNCT"
"733","ἵνα","SCONJ"
"734","δικαιωθῶμεν","VERB"
"735","ἐκ","ADP"
"736","πίστεως","NOUN"
"737","Χριστοῦ","PROPN"
"738","καὶ","CCONJ"
"739","οὐκ","ADV"
"740","ἐξ","ADP"
"741","ἔργων","NOUN"
"742","νόμου","NOUN"
"743",",","PUNCT"
"744","ὅτι","SCONJ"
"745","ἐξ","ADP"
"746","ἔργων","NOUN"
"747","νόμου","NOUN"
"748","οὐ","ADV"
"749","δικαιωθήσεται","VERB"
"750","πᾶσα","DET"
"751","σάρξ","NOUN"
"752",".","PUNCT"
"753","εἰ","SCONJ"
"754","δὲ","ADV"
"755","ζητοῦντες","VERB"
"756","δικαιωθῆναι","VERB"
"757","ἐν","ADP"
"758","Χριστῷ","PROPN"
"759","εὑρέθημεν","VERB"
"760","καὶ","ADV"
"761","αὐτοὶ","ADJ"
"762","ἁμαρτωλοί","ADJ"
"763",",","PUNCT"
"764","ἆρα","ADV"
"765","Χριστὸς","PROPN"
"766","ἁμαρτίας","NOUN"
"767","διάκονος","NOUN"
"768",";","PUNCT"
"769","μὴ","ADV"
"770","γένοιτο","VERB"
"771","·","PUNCT"
"772","εἰ","SCONJ"
"773","γὰρ","ADV"
"774","ἃ","PRON"
"775","κατέλυσα","VERB"
"776","ταῦτα","ADJ"
"777","πάλιν","ADV"
"778","οἰκοδομῶ","VERB"
"779",",","PUNCT"
"780","παραβάτην","NOUN"
"781","ἐμαυτὸν","PRON"
"782","συνιστάνω","VERB"
"783",".","PUNCT"
"784","ἐγὼ","PRON"
"785","γὰρ","ADV"
"786","διὰ","ADP"
"787","νόμου","NOUN"
"788","νόμῳ","NOUN"
"789","ἀπέθανον","VERB"
"790","ἵνα","SCONJ"
"791","θεῷ","NOUN"
"792","ζήσω","VERB"
"793","·","PUNCT"
"794","Χριστῷ","PROPN"
"795","συνεσταύρωμαι","VERB"
"796","·","PUNCT"
"797","ζῶ","VERB"
"798","δὲ","ADV"
"799","οὐκέτι","ADV"
"800","ἐγώ","PRON"
"801",",","PUNCT"
"802","ζῇ","VERB"
"803","δὲ","ADV"
"804","ἐν","ADP"
"805","ἐμοὶ","PRON"
"806","Χριστός","PROPN"
"807","·","PUNCT"
"808","ὃ","PRON"
"809","δὲ","ADV"
"810","νῦν","ADV"
"811","ζῶ","VERB"
"812","ἐν","ADP"
"813","σαρκί","NOUN"
"814",",","PUNCT"
"815","ἐν","ADP"
"816","πίστει","NOUN"
"817","ζῶ","VERB"
"818","τῇ","DET"
"819","τοῦ","DET"
"820","υἱοῦ","NOUN"
"821","τοῦ","DET"
"822","θεοῦ","NOUN"
"823","τοῦ","DET"
"824","ἀγαπήσαντός","VERB"
"825","με","PRON"
"826","καὶ","CCONJ"
"827","παραδόντος","VERB"
"828","ἑαυτὸν","PRON"
"829","ὑπὲρ","ADP"
"830","ἐμοῦ","PRON"
"831",".","PUNCT"
"832","οὐκ","ADV"
"833","ἀθετῶ","VERB"
"834","τὴν","DET"
"835","χάριν","NOUN"
"836","τοῦ","DET"
"837","θεοῦ","NOUN"
"838","·","PUNCT"
"839","εἰ","SCONJ"
"840","γὰρ","ADV"
"841","διὰ","ADP"
"842","νόμου","NOUN"
"843","δικαιοσύνη","NOUN"
"844",",","PUNCT"
"845","ἄρα","ADV"
"846","Χριστὸς","PROPN"
"847","δωρεὰν","ADV"
"848","ἀπέθανεν","VERB"
"849",".","PUNCT"
"850","Ὦ","INTJ"
"851","ἀνόητοι","ADJ"
"852","Γαλάται","NOUN"
"853",",","PUNCT"
"854","τίς","PRON"
"855","ὑμᾶς","PRON"
"856","ἐβάσκανεν","VERB"
"857",",","PUNCT"
"858","οἷς","PRON"
"859","κατʼ","ADP"
"860","ὀφθαλμοὺς","NOUN"
"861","Ἰησοῦς","PROPN"
"862","Χριστὸς","PROPN"
"863","προεγράφη","VERB"
"864","ἐσταυρωμένος","VERB"
"865",";","PUNCT"
"866","τοῦτο","ADJ"
"867","μόνον","ADJ"
"868","θέλω","VERB"
"869","μαθεῖν","VERB"
"870","ἀφʼ","ADP"
"871","ὑμῶν","PRON"
"872",",","PUNCT"
"873","ἐξ","ADP"
"874","ἔργων","NOUN"
"875","νόμου","NOUN"
"876","τὸ","DET"
"877","πνεῦμα","NOUN"
"878","ἐλάβετε","VERB"
"879","ἢ","CCONJ"
"880","ἐξ","ADP"
"881","ἀκοῆς","NOUN"
"882","πίστεως","NOUN"
"883",";","PUNCT"
"884","οὕτως","ADV"
"885","ἀνόητοί","ADJ"
"886","ἐστε","AUX"
"887",";","PUNCT"
"888","ἐναρξάμενοι","VERB"
"889","πνεύματι","NOUN"
"890","νῦν","ADV"
"891","σαρκὶ","NOUN"
"892","ἐπιτελεῖσθε","VERB"
"893",";","PUNCT"
"894","τοσαῦτα","ADJ"
"895","ἐπάθετε","VERB"
"896","εἰκῇ","ADV"
"897",";","PUNCT"
"898","εἴ","SCONJ"
"899","γε","ADV"
"900","καὶ","ADV"
"901","εἰκῇ","ADV"
"902",".","PUNCT"
"903","ὁ","DET"
"904","οὖν","ADV"
"905","ἐπιχορηγῶν","VERB"
"906","ὑμῖν","PRON"
"907","τὸ","DET"
"908","πνεῦμα","NOUN"
"909","καὶ","CCONJ"
"910","ἐνεργῶν","VERB"
"911","δυνάμεις","NOUN"
"912","ἐν","ADP"
"913","ὑμῖν","PRON"
"914","ἐξ","ADP"
"915","ἔργων","NOUN"
"916","νόμου","NOUN"
"917","ἢ","CCONJ"
"918","ἐξ","ADP"
"919","ἀκοῆς","NOUN"
"920","πίστεως","NOUN"
"921",";","PUNCT"
"922","καθὼς","ADV"
"923","Ἀβραὰμ","PROPN"
