"ID","TOKEN","UPOS"
"1","Παῦλος","PROPN"
"2","ἀπόστολος","NOUN"
"3",",","PUNCT"
"4","οὐκ","ADV"
"5","ἀπʼ","ADP"
"6","ἀνθρώπων","NOUN"
"7","οὐδὲ","CCONJ"
"8","διʼ","ADP"
"9","ἀνθρώπου","NOUN"
"10","ἀλλὰ","CCONJ"
"11","διὰ","ADP"
"12","Ἰησοῦ","PROPN"
"13","Χριστοῦ","PROPN"
"14","καὶ","CCONJ"
"15","θεοῦ","NOUN"
"16","πατρὸς","NOUN"
"17","τοῦ","DET"
"18","ἐγείραντος","VERB"
"19","αὐτὸν","PRON"
"20","ἐκ","ADP"
"21","νεκρῶν","ADJ"
"22",",","PUNCT"
"23","καὶ","CCONJ"
"24","οἱ","DET"
"25","σὺν","ADP"
"26","ἐμοὶ","PRON"
"27","πάντες","DET"
"28","ἀδελφοί","NOUN"
"29",",","PUNCT"
"30","ταῖς","DET"
"31","ἐκκλησίαις","NOUN"
"32","τῆς","DET"
"33","Γαλατίας","PROPN"
"34","·","PUNCT"
"35","χάρις","NOUN"
"36","ὑμῖν","PRON"
"37","καὶ","CCONJ"
"38","εἰρήνη","NOUN"
"39","ἀπὸ","ADP"
"40","θεοῦ","NOUN"
"41","πατρὸς","NOUN"
"42","καὶ","CCONJ"
"43","κυρίου","NOUN"
"44","ἡμῶν","PRON"
"45","Ἰησοῦ","PROPN"
"46","Χριστοῦ","PROPN"
"47",",","PUNCT"
"48","τοῦ","DET"
"49","δόντος","VERB"
"50","ἑαυτὸν","PRON"
"51","ὑπὲρ","ADP"
"52","τῶν","DET"
"53","ἁμαρτιῶν","NOUN"
"54","ἡμῶν","PRON"
"55","ὅπως","SCONJ"
"56","ἐξέληται","VERB"
"57","ἡμᾶς","PRON"
"58","ἐκ","ADP"
"59","τοῦ","DET"
"60","αἰῶνος","NOUN"
"61","τοῦ","DET"
"62","ἐνεστῶτος","VERB"
"63","πονηροῦ","ADJ"
"64","κατὰ","ADP"
"65","τὸ","DET"
"66","θέλημα","NOUN"
"67","τοῦ","DET"
"68","θεοῦ","NOUN"
"69","καὶ","CCONJ"
"70","πατρὸς","NOUN"
"71","ἡμῶν","PRON"
"72",",","PUNCT"
"73","ᾧ","PRON"
"74","ἡ","DET"
"75","δόξα","NOUN"
"76","εἰς","ADP"
"77","τοὺς","DET"
"78","αἰῶνας","NOUN"
"79","τῶν","DET"
"80","αἰώνων","NOUN"
"81","·","PUNCT"
"82","ἀμήν","INTJ"
"83",".","PUNCT"
"84","Θαυμάζω","VERB"
"85","ὅτι","SCONJ"
"86","οὕτως","ADV"
"87","ταχέως","ADV"
"88","μετατίθεσθε","VERB"
"89","ἀπὸ","ADP"
"90","τοῦ","DET"
"91","καλέσαντος","VERB"
"92","ὑμᾶς","PRON"
"93","ἐν","ADP"
"94","χάριτι","NOUN"
"95","Χριστοῦ","PROPN"
"96","εἰς","ADP"
"97","ἕτερον","ADJ"
"98","εὐαγγέλιον","NOUN"
"99",",","PUNCT"
"100","ὃ","PRON"
"101","οὐκ","ADV"
"102","ἔστιν","AUX"
"103","ἄλλο","ADJ"
"104","·","PUNCT"
"105","εἰ","SCONJ"
"106","μή","ADV"
"107","τινές","ADJ"
"108","εἰσιν","AUX"
"109","οἱ","DET"
"110","ταράσσοντες","VERB"
"111","ὑμᾶς","PRON"
"112","καὶ","CCONJ"
"113","θέλοντες","VERB"
"114","μεταστρέψαι","VERB"
"115","τὸ","DET"
"116","εὐαγγέλιον","NOUN"
"117","τοῦ","DET"
"118","Χριστοῦ","PROPN"
"119",".","PUNCT"
"120","ἀλλὰ","CCONJ"
"121","καὶ","ADV"
"122","ἐὰν","SCONJ"
"123","ἡμεῖς","PRON"
"124","ἢ","CCONJ"
"125","ἄγγελος","NOUN"
"126","ἐξ","ADP"
"127","οὐρανοῦ","NOUN"
"128","εὐαγγελίζηται","VERB"
"129","ὑμῖν","PRON"
"130","παρʼ","ADP"
"131","ὃ","PRON"
"132","εὐηγγελισάμεθα","VERB"
"133","ὑμῖν","PRON"
"134",",","PUNCT"
"135","ἀνάθεμα","NOUN"
"136","ἔστω","AUX"
"137",".","PUNCT"
"138","ὡς","ADV"
"139","προειρήκαμεν","VERB"
"140",",","PUNCT"
"141","καὶ","ADV"
"142","ἄρτι","ADV"
"143","πάλιν","ADV"
"144","λέγω","VERB"
"145",",","PUNCT"
"146","εἴ","SCONJ"
"147","τις","ADJ"
"148","ὑμᾶς","PRON"
"149","εὐαγγελίζεται","VERB"
"150","παρʼ","ADP"
"151","ὃ","PRON"
"152","παρελάβετε","VERB"
"153",",","PUNCT"
"154","ἀνάθεμα","NOUN"
"155","ἔστω","AUX"
"156",".","PUNCT"
"157","Ἄρτι","ADV"
"158","γὰρ","ADV"
"159","ἀνθρώπους","NOUN"
"160","πείθω","VERB"
"161","ἢ","CCONJ"
"162","τὸν","DET"
"163","θεόν","NOUN"
"164",";","PUNCT"
"165","ἢ","CCONJ"
"166","ζητῶ","VERB"
"167","ἀνθρώποις","NOUN"
"168","ἀρέσκειν","VERB"
"169",";","PUNCT"
"170","εἰ","SCONJ"
"171","ἔτι","ADV"
"172","ἀνθρώποις","NOUN"
"173","ἤρεσκον","VERB"
"174",",","PUNCT"
"175","Χριστοῦ","PROPN"
"176","δοῦλος","NOUN"
