"ID","TOKEN","IS_PUNCT"
"206","μού","FALSE"
"207","ἐστιν","FALSE"
"208","ἔρημος","FALSE"
"209",".","TRUE"
"210","ὑμεῖς","FALSE"
"211","δὲ","FALSE"
"212","διώκετε","FALSE"
"213","ἕκαστος","FALSE"
"214","εἰς","FALSE"
"215","τὸν","FALSE"
"216","οἶκον","FALSE"
"217","αὐτοῦ","FALSE"
"218",",","TRUE"
"219","διὰ","FALSE"
"220","τοῦτο","FALSE"
"221","ἀνέξει","FALSE"
"222","ὁ","FALSE"
"223","οὐρανὸς","FALSE"
"224","ἀπὸ","FALSE"
"225","δρόσου","FALSE"
"226",",","TRUE"
"227","καὶ","FALSE"
"228","ἡ","FALSE"
"229","γῆ","FALSE"
"230","ὑποστελεῖται","FALSE"
"231","τὰ","FALSE"
"232","ἐκφόρια","FALSE"
"233","αὐτῆς","FALSE"
"234","·","TRUE"
"235","καὶ","FALSE"
"236","ἐπάξω","FALSE"
"237","ῥομφαίαν","FALSE"
"238","ἐπὶ","FALSE"
"239","τὴν","FALSE"
"240","γῆν","FALSE"
"241","καὶ","FALSE"
"242","ἐπὶ","FALSE"
"243","τὰ","FALSE"
"244","ὄρη","FALSE"
"245",",","TRUE"
"246","καὶ","FALSE"
"247","ἐπὶ","FALSE"
"248","τὸν","FALSE"
"249","σῖτον","FALSE"
"250","καὶ","FALSE"
"251","ἐπὶ","FALSE"
"252","τὸν","FALSE"
"253","οἶνον","FALSE"
"254","καὶ","FALSE"
"255","ἐπὶ","FALSE"
"256","τὸ","FALSE"
"257","ἔλαιον","FALSE"
"258","καὶ","FALSE"
"259","ὅσα","FALSE"
"260","ἐκφέρει","FALSE"
"261","ἡ","FALSE"
"262","γῆ","FALSE"
"263",",","TRUE"
"264","καὶ","FALSE"
"265","ἐπὶ","FALSE"
"266","τοὺς","FALSE"
"267","ἀνθρώπους","FALSE"
"268","καὶ","FALSE"
"269","ἐπὶ","FALSE"
"270","τὰ","FALSE"
"271","κτήνη","FALSE"
"272",",","TRUE"
"273","καὶ","FALSE"
"274","ἐπὶ","FALSE"
"275","πάντας","FALSE"
"276","τοὺς","FALSE"
"277","πόνους","FALSE"
"278","τῶν","FALSE"
"279","χειρῶν","FALSE"
"280","αὐτῶν","FALSE"
"281",".","TRUE"
"282","Καὶ","FALSE"
"283","ἤκουσεν","FALSE"
"284","Ζοροβαβελ","FALSE"
"285","ὁ","FALSE"
"286","τοῦ","FALSE"
"287","Σαλαθιὴλ","FALSE"
"288","ἐκ","FALSE"
"289","φυλῆς","FALSE"
"290","Ἰούδα","FALSE"
