"ID","TOKEN","IS_STOP"
"205","κατασκόπων","FALSE"
"206","παρὼν","FALSE"
"207","ποτέ","FALSE"
"208","τις","TRUE"
"209","οὕτως","TRUE"
"210","εἶπε","FALSE"
"211","τῷ","TRUE"
"212","βασιλεῖ","FALSE"
"213","·","FALSE"
"214","Μέγιστε","FALSE"
"215","Νεκτανεβώ","FALSE"
"216",",","FALSE"
"217","παραπεμψάμενος","FALSE"
"218","πάντα","FALSE"
"219","τὸ","TRUE"
"220","ἐν","TRUE"
"221","εἰρήνῃ","FALSE"
"222","εἶναι","TRUE"
"223","ἐπίσκεψαι","FALSE"
"224",".","FALSE"
"225","ἐπίκειται","FALSE"
"226","γὰρ","TRUE"
"227","νέφος","FALSE"
"228","οὐκ","TRUE"
"229","ὀλίγον","FALSE"
"230","μυρίων","FALSE"
"231","ἐχθρῶν","FALSE"
"232","·","FALSE"
"233","εἰσὶ","TRUE"
"234","γὰρ","TRUE"
"235","Σκύθαι","FALSE"
"236","καὶ","TRUE"
"237","Ἄραβες","FALSE"
"238","καὶ","TRUE"
"239","Ὀξύδρακες","FALSE"
"240","καὶ","TRUE"
"241","Ἴβηρες","FALSE"
"242","καὶ","TRUE"
"243","Σῆρες","FALSE"
"244","καὶ","TRUE"
"245","Καύκωνες","FALSE"
"246","καὶ","TRUE"
"247","Λάπατες","FALSE"
"248","καὶ","TRUE"
"249","Βοσπόριοι","FALSE"
"250","καὶ","TRUE"
"251","Ἄγροι","FALSE"
"252","καὶ","TRUE"
"253","Ζαλβοὶ","FALSE"
"254","καὶ","TRUE"
"255","Χαλδαῖοι","FALSE"
"256","καὶ","TRUE"
"257","Μεσοποτάμιοι","FALSE"
"258","καὶ","TRUE"
"259","Ἀγριοφάγοι","FALSE"
"260","καὶ","TRUE"
"261","Εὐωνυμῖται","FALSE"
"262","καὶ","TRUE"
"263","ὅσα","FALSE"
"264","ἐστὶν","TRUE"
"265","ἔθνη","FALSE"
"266","ἐπὶ","TRUE"
"267","τῆς","TRUE"
"268","ἀνατολῆς","FALSE"
"269","μεγάλα","FALSE"
"270",",","FALSE"
"271","ἀναρίθμητον","FALSE"
"272","στρατὸν","FALSE"
"273","ἔχοντα","FALSE"
"274","μυρίων","FALSE"
"275","ἀνδρῶν","FALSE"
"276","σπευδόντων","FALSE"
"277","τὴν","TRUE"
"278","σὴν","TRUE"
"279","Αἴγυπτον","FALSE"
"280","καταλαβεῖν","FALSE"
"281",".","FALSE"
"282","Οὕτως","TRUE"
"283","εἰπόντος","FALSE"
"284","τοῦ","TRUE"
"285","στρατάρχου","FALSE"
"286","μειδιάσας","FALSE"
"287","ὁ","TRUE"
"288","Νεκτανεβὼ","FALSE"
"289","εἶπεν","FALSE"
"290","·","FALSE"
"291","Σὺ","TRUE"
"292","μὲν","TRUE"
"293","καλῶς","FALSE"
"294","καὶ","TRUE"
"295","ἐπαγρύπνως","FALSE"
"296","ἣν","TRUE"
"297","πεπίστευσαι","FALSE"
"298","φρουρὰν","FALSE"
"299","φυλάσσεις","FALSE"
"300",",","FALSE"
"301","δειλῶς","FALSE"
"302","δὲ","TRUE"
"303","καὶ","TRUE"
"304","οὐ","TRUE"
"305","στρατιωτικῶς","FALSE"
"306","ἐφθέγξω","FALSE"
"307",".","FALSE"
"308","οὐ","TRUE"
"309","γὰρ","TRUE"
"310","δύναμις","FALSE"
"311","ἐν","TRUE"
"312","ὄχλῳ","FALSE"
"313","φαίνεται","FALSE"
"314",",","FALSE"
"315","ἀλλ","FALSE"
"316","´","FALSE"
"317","ἐν","TRUE"
"318","τῇ","TRUE"
"319","προθυμίᾳ","FALSE"
"320",".","FALSE"
"321","καὶ","TRUE"
"322","γὰρ","TRUE"
"323","εἷς","FALSE"
"324","λόγος","FALSE"
"325","πολλοὺς","FALSE"
"326","ἐλαύνει","FALSE"
"327",",","FALSE"
"328","χειρὶ","FALSE"
"329","τῇ","TRUE"
"330","ἀγαθῇ","FALSE"
"331","πολυπλήθειαν","FALSE"
"332","καλύψας","FALSE"
"333",".","FALSE"
"334","Οὕτως","TRUE"
"335","εἰπὼν","FALSE"
"336","ἀπέπεμψεν","FALSE"
"337","αὐτόν","TRUE"
"338",".","FALSE"
"339","Αὐτὸς","TRUE"
"340","δὲ","TRUE"
"341","εἰς","TRUE"
"342","τὰ","TRUE"
"343","βασίλεια","FALSE"
"344","ἀναστρέψας","FALSE"
"345","ἐκέλευσε","FALSE"
"346","πάντας","FALSE"
"347","ἐκ","TRUE"
"348","μέσου","FALSE"
