"ID","TOKEN","IS_PUNCT"
"205","κατασκόπων","FALSE"
"206","παρὼν","FALSE"
"207","ποτέ","FALSE"
"208","τις","FALSE"
"209","οὕτως","FALSE"
"210","εἶπε","FALSE"
"211","τῷ","FALSE"
"212","βασιλεῖ","FALSE"
"213","·","TRUE"
"214","Μέγιστε","FALSE"
"215","Νεκτανεβώ","FALSE"
"216",",","TRUE"
"217","παραπεμψάμενος","FALSE"
"218","πάντα","FALSE"
"219","τὸ","FALSE"
"220","ἐν","FALSE"
"221","εἰρήνῃ","FALSE"
"222","εἶναι","FALSE"
"223","ἐπίσκεψαι","FALSE"
"224",".","TRUE"
"225","ἐπίκειται","FALSE"
"226","γὰρ","FALSE"
"227","νέφος","FALSE"
"228","οὐκ","FALSE"
"229","ὀλίγον","FALSE"
"230","μυρίων","FALSE"
"231","ἐχθρῶν","FALSE"
"232","·","TRUE"
"233","εἰσὶ","FALSE"
"234","γὰρ","FALSE"
"235","Σκύθαι","FALSE"
"236","καὶ","FALSE"
"237","Ἄραβες","FALSE"
"238","καὶ","FALSE"
"239","Ὀξύδρακες","FALSE"
"240","καὶ","FALSE"
"241","Ἴβηρες","FALSE"
"242","καὶ","FALSE"
"243","Σῆρες","FALSE"
"244","καὶ","FALSE"
"245","Καύκωνες","FALSE"
"246","καὶ","FALSE"
"247","Λάπατες","FALSE"
"248","καὶ","FALSE"
"249","Βοσπόριοι","FALSE"
"250","καὶ","FALSE"
"251","Ἄγροι","FALSE"
"252","καὶ","FALSE"
"253","Ζαλβοὶ","FALSE"
"254","καὶ","FALSE"
"255","Χαλδαῖοι","FALSE"
"256","καὶ","FALSE"
"257","Μεσοποτάμιοι","FALSE"
"258","καὶ","FALSE"
"259","Ἀγριοφάγοι","FALSE"
"260","καὶ","FALSE"
"261","Εὐωνυμῖται","FALSE"
"262","καὶ","FALSE"
"263","ὅσα","FALSE"
"264","ἐστὶν","FALSE"
"265","ἔθνη","FALSE"
"266","ἐπὶ","FALSE"
"267","τῆς","FALSE"
"268","ἀνατολῆς","FALSE"
"269","μεγάλα","FALSE"
"270",",","TRUE"
"271","ἀναρίθμητον","FALSE"
"272","στρατὸν","FALSE"
"273","ἔχοντα","FALSE"
"274","μυρίων","FALSE"
"275","ἀνδρῶν","FALSE"
"276","σπευδόντων","FALSE"
"277","τὴν","FALSE"
"278","σὴν","FALSE"
"279","Αἴγυπτον","FALSE"
"280","καταλαβεῖν","FALSE"
"281",".","TRUE"
"282","Οὕτως","FALSE"
"283","εἰπόντος","FALSE"
"284","τοῦ","FALSE"
"285","στρατάρχου","FALSE"
"286","μειδιάσας","FALSE"
"287","ὁ","FALSE"
"288","Νεκτανεβὼ","FALSE"
"289","εἶπεν","FALSE"
"290","·","TRUE"
"291","Σὺ","FALSE"
"292","μὲν","FALSE"
"293","καλῶς","FALSE"
"294","καὶ","FALSE"
"295","ἐπαγρύπνως","FALSE"
"296","ἣν","FALSE"
"297","πεπίστευσαι","FALSE"
"298","φρουρὰν","FALSE"
"299","φυλάσσεις","FALSE"
"300",",","TRUE"
"301","δειλῶς","FALSE"
"302","δὲ","FALSE"
"303","καὶ","FALSE"
"304","οὐ","FALSE"
"305","στρατιωτικῶς","FALSE"
"306","ἐφθέγξω","FALSE"
"307",".","TRUE"
"308","οὐ","FALSE"
"309","γὰρ","FALSE"
"310","δύναμις","FALSE"
"311","ἐν","FALSE"
"312","ὄχλῳ","FALSE"
"313","φαίνεται","FALSE"
"314",",","TRUE"
"315","ἀλλ","FALSE"
"316","´","FALSE"
"317","ἐν","FALSE"
"318","τῇ","FALSE"
"319","προθυμίᾳ","FALSE"
"320",".","TRUE"
"321","καὶ","FALSE"
"322","γὰρ","FALSE"
"323","εἷς","FALSE"
"324","λόγος","FALSE"
"325","πολλοὺς","FALSE"
"326","ἐλαύνει","FALSE"
"327",",","TRUE"
"328","χειρὶ","FALSE"
"329","τῇ","FALSE"
"330","ἀγαθῇ","FALSE"
"331","πολυπλήθειαν","FALSE"
"332","καλύψας","FALSE"
"333",".","TRUE"
"334","Οὕτως","FALSE"
"335","εἰπὼν","FALSE"
"336","ἀπέπεμψεν","FALSE"
"337","αὐτόν","FALSE"
"338",".","TRUE"
"339","Αὐτὸς","FALSE"
"340","δὲ","FALSE"
"341","εἰς","FALSE"
"342","τὰ","FALSE"
"343","βασίλεια","FALSE"
"344","ἀναστρέψας","FALSE"
"345","ἐκέλευσε","FALSE"
"346","πάντας","FALSE"
"347","ἐκ","FALSE"
"348","μέσου","FALSE"
