"ID","TOKEN","IS_PUNCT"
"210","ἕνα","FALSE"
"211","μαθεῖν","FALSE"
"212","τοὺς","FALSE"
"213","τρεῖς","FALSE"
"214","ἀγνοήσας","FALSE"
"215",";","TRUE"
"216","σολοικιστής","FALSE"
"217","Τίνας","FALSE"
"218","τρεῖς","FALSE"
"219",";","TRUE"
"220","Λυκῖνος","FALSE"
"221","Ὅλους","FALSE"
"222","ἀρτιγενείους","FALSE"
"223",".","TRUE"
"224","σολοικιστής","FALSE"
"225","Ἐγὼ","FALSE"
"226","μέν","FALSE"
"227","σε","FALSE"
"228","παίζειν","FALSE"
"229","δοκῶ","FALSE"
"230",".","TRUE"
"231","Λυκῖνος","FALSE"
"232","Ἐγὼ","FALSE"
"233","δέ","FALSE"
"234","σε","FALSE"
"235","ἀγνοεῖν","FALSE"
"236","τὸν","FALSE"
"237","ἁμαρτάνοντα","FALSE"
"238","ἐν","FALSE"
"239","τοῖς","FALSE"
"240","λόγοις","FALSE"
"241",".","TRUE"
"242","σολοικιστής","FALSE"
"243","Καὶ","FALSE"
"244","πῶς","FALSE"
"245","ἄν","FALSE"
"246","τις","FALSE"
"247","μάθοι","FALSE"
"248","μηδενὸς","FALSE"
"249","εἰρημένου","FALSE"
"250",";","TRUE"
"251","Λυκῖνος","FALSE"
"252","Λέλεκται","FALSE"
"253","καὶ","FALSE"
"254","σεσολοίκισται","FALSE"
"255","τετραπλῇ","FALSE"
"256",",","TRUE"
"257","σὺ","FALSE"
"258","δ᾽","FALSE"
"259","οὐκ","FALSE"
"260","ἔγνως","FALSE"
"261",".","TRUE"
"262","μέγα","FALSE"
"263","οὖν","FALSE"
"264","ἆθλον","FALSE"
"265","κατέπραξας","FALSE"
"266","ἄν","FALSE"
"267",",","TRUE"
"268","εἴπερ","FALSE"
"269","ἔγνως","FALSE"
"270",".","TRUE"
"271","σολοικιστής","FALSE"
"272","Οὐ","FALSE"
"273","μέγα","FALSE"
"274","μέν","FALSE"
"275",",","TRUE"
"276","ἀναγκαῖον","FALSE"
"277","δὲ","FALSE"
"278","τῷ","FALSE"
"279","ὁμολογήσαντι","FALSE"
"280",".","TRUE"
"281","Λυκῖνος","FALSE"
"282","Ἀλλ","FALSE"
"283","οὐδὲ","FALSE"
"284","νῦν","FALSE"
"285","ἔγνως","FALSE"
"286",".","TRUE"
"287","σολοικιστής","FALSE"
"288","Πότε","FALSE"
"289","νῦν","FALSE"
"290",";","TRUE"
"291","Λυκῖνος","FALSE"
"292","Ὅτε","FALSE"
"293","τὸ","FALSE"
"294","ἆθλον","FALSE"
"295","ἔφην","FALSE"
"296","σε","FALSE"
"297","καταπρᾶξαι","FALSE"
"298",".","TRUE"
"299","σολοικιστής","FALSE"
"300","Οὐκ","FALSE"
"301","οἶδα","FALSE"
"302","ὅ","FALSE"
"303","τι","FALSE"
"304","λέγεις","FALSE"
"305",".","TRUE"
"306","Λυκῖνος","FALSE"
"307","Ὀρθῶς","FALSE"
"308","ἔφης","FALSE"
"309","·","TRUE"
"310","οὐ","FALSE"
"311","γὰρ","FALSE"
"312","οἶσθα","FALSE"
"313",".","TRUE"
"314","καὶ","FALSE"
"315","προϊθί","FALSE"
"316","γε","FALSE"
"317","ἐς","FALSE"
"318","τὸ","FALSE"
"319","ἔμπροσθεν","FALSE"
"320","·","TRUE"
"321","οὐ","FALSE"
"322","γὰρ","FALSE"
"323","ἐθέλεις","FALSE"
"324","ἕπεσθαι","FALSE"
"325",",","TRUE"
"326","συνήσων","FALSE"
"327","ἄν","FALSE"
"328",",","TRUE"
"329","εἴπερ","FALSE"
"330","ἐθελήσειας","FALSE"
"331",".","TRUE"
"332","σολοικιστής","FALSE"
"333","Ἀλλ","FALSE"
"334","ἐγὼ","FALSE"
"335","βούλομαι","FALSE"
"336","·","TRUE"
"337","σὺ","FALSE"
"338","δ","FALSE"
"339","οὐδὲν","FALSE"
"340","εἶπας","FALSE"
"341","ὧν","FALSE"
"342","ἄνθρωποι","FALSE"
"343","σολοικίζοντες","FALSE"
"344","λέγουσι","FALSE"
"345",".","TRUE"
"346","Λυκῖνος","FALSE"
"347","Τὸ","FALSE"
"348","γὰρ","FALSE"
"349","νῦν","FALSE"
"350","ῥηθὲν","FALSE"
"351","μικρόν","FALSE"
"352","τί","FALSE"
"353","σοι","FALSE"
"354","φαίνεται","FALSE"
"355","κακὸν","FALSE"
"356","εἶναι","FALSE"
"357",";","TRUE"
"358","ὅμως","FALSE"
"359","δὲ","FALSE"
"360","ἀκολούθησον","FALSE"
"361","αὖθις","FALSE"
"362",",","TRUE"
"363","ἐπεὶ","FALSE"
"364","οὐκ","FALSE"
"365","ἔμαθες","FALSE"
"366","ἐκδραμόντα","FALSE"
"367",".","TRUE"
"368","σολοικιστής","FALSE"
"369","Μὰ","FALSE"
"370","τοὺς","FALSE"
"371","θεοὺς","FALSE"
"372","οὐκ","FALSE"
"373","ἔγωγε","FALSE"
"374",".","TRUE"
"375","Λυκῖνος","FALSE"
